species,femur,final_rad
etheridgei,1.062346,0.75848457
insolitus,1.00585693,0.69274815
chamaeleonides,1.302954,0.475078941
equestris,1.02534773,0.767723909
cristifer,1.05363722,0.735119038
cupeyalensis,1.05616732,0.548087584
bremeri,1.06195358,0.709929574
smallwoodi,1.07761403,0.673572565
shrevei,1.09250849,0.706470098
occultus,1.099487707,0.700370546
cobanensis,1.11150034,0.68571131
cusuco,1.11278693,0.710458642
johnmeyeri,1.1258634,0.710070419
aliniger,1.130401423,0.631433205
baleatus,1.147168185,0.682927671
ahli,1.14889095,0.633008689
mestrei,1.16594653,0.657951366
trinitatis,1.16596304,0.662882272
krugi,1.168319807,0.651375821
brunneus,1.171629147,0.620349078
marmoratus,1.180127778,0.680792134
jubar,1.187301595,0.639762326
evermanni,1.18991629,0.629044843
fugitivus,1.19163309,0.627773845
roquet,1.201983603,0.66118194
taylori,1.202547113,0.666507621
concolor,1.203435703,0.601235541
caudalis,1.20888119,0.660832791
sabanus,1.211618423,0.633563583
woodi,1.2116586,0.589521598
tropidonotus,1.21953869,0.628410694
semilineatus,1.220359655,0.645412683
amplisquamosus,1.2232814,0.589674645
macrophallus,1.22415646,0.59126982
sheplani,1.22563342,0.503884907
inexpectatus,1.22806099,0.546900357
lividus,1.234582663,0.655189081
gingivinus,1.235409405,0.629023779
koopmani,1.241579133,0.633672436
bahorucoensis,1.244046,0.515750096
placidus,1.24459195,0.57367238
vermiculatus,1.24761548,0.61991935
conspersus,1.24828958,0.611882342
rubiginosus,1.251982425,0.584698888
baracoae,1.25262571,0.684981752
aquaticus,1.256593495,0.707907153
argillaceus,1.25939644,0.601864852
petersii,1.2613412,0.632275458
christophei,1.26183772,0.663249576
acutus,1.262930683,0.647105351
altavelensis,1.26492447,0.695444863
bimaculatus,1.26579156,0.571451831
luteogularis,1.27209808,0.682984667
marron,1.274073265,0.674017804
bonairensis,1.282790955,0.607138863
ophiolepis,1.286421373,0.553982239
bartschi,1.288433503,0.547160474
barbouri,1.28880378,0.469041576
wermuthi,1.2909568,0.542125447
blanquillanus,1.29161444,0.589905012
landestoyi,1.29310106,0.582752091
alutaceus,1.295057577,0.500258156
rupinae,1.302391023,0.584851881
ferreus,1.30317942,0.60547132
cyanopleurus,1.309300125,0.559956525
cooki,1.30994995,0.636396103
anfiloquioi,1.309974,0.515848815
luciae,1.312201773,0.589254164
loysiana,1.321947207,0.618042252
leachii,1.327963848,0.592102862
sagrei,1.33430178,0.524761189
rodriguezii,1.33963999,0.607124369
porcus,1.34546166,0.681615728
cuvieri,1.34669181,0.644787099
reconditus,1.34677975,0.63839196
vanidicus,1.351905593,0.465751249
richardii,1.3546364,0.546388171
villai,1.35814046,0.569122131
alumina,1.360535333,0.540707726
schwartzi,1.36328061,0.557305854
biporcatus,1.368437955,0.639120369
litoralis,1.36886494,0.569783915
chlorocyanus,1.38157576,0.583878762
rejectus,1.383915245,0.469540327
barahonae,1.38747582,0.529528092
monticola,1.39361323,0.578834749
dollfusianus,1.40616247,0.601331855
opalinus,1.40803679,0.597829407
desechensis,1.41667123,0.623854297
microlepidotus,1.54365377,0.506655702